day,idx,DemandLambda,OrderLambda,poisson,emprical,chatGPT,poisson_cost,emprical_cost,ChatGPT_cost,ChatGPT_beat_poisson,ChatGPT_eqaul_poisson,ChatGPT_beat_emprical,ChatGPT_eqaul_emprical
3,2,5.210321017,7.204987968,7,5,7,10.54800475,10.13714686,10.54800475,,1,,
3,3,8.594957117,9.361456101,7,7,8,16.64052054,16.64052054,13.74806139,1,,1,
3,5,5.801365973,16.79562594,7,6,6,10.23662903,10.21647039,10.21647039,1,,,1
3,6,8.783251568,19.8421229,12,12,19,15.52617454,15.52617454,40.88138766,,,,
3,7,3.712531706,15.14916346,4,4,17,8.017020024,8.017020024,53.14091207,,,,
3,8,4.558322061,19.40830387,7,7,7,11.558535,11.558535,11.558535,,1,,1
3,9,8.708833846,8.859574862,5,6,6,27.07598036,21.55603312,21.55603312,1,,,1
3,10,9.876286448,12.44416821,12,8,12,13.93179936,18.5051989,13.93179936,,1,1,
3,11,5.08420359,9.684773862,5,4,12,9.832273904,12.14739769,27.6994301,,,,
3,12,7.043484203,2.936490045,2,1,3,35.39053014,42.31324669,28.70604085,1,,1,
3,13,3.983644149,8.54582962,6,6,5,10.13710776,10.13710776,8.466422477,1,,1,
3,14,2.843795126,8.18898425,5,4,5,9.728087317,7.460524727,9.728087317,,1,,
3,15,4.542630091,10.55364014,6,5,5,9.508526796,8.854648961,8.854648961,1,,,1
3,16,1.181352028,11.92692353,1,1,1,3.906836158,3.906836158,3.906836158,,1,,1
3,17,6.779223042,2.442030402,3,3,4,26.9479511,26.9479511,20.98229473,1,,1,
3,18,2.735188174,17.32601823,3,3,3,6.768659792,6.768659792,6.768659792,,1,,1
3,19,8.904314606,7.398459397,9,8,12,12.86015851,14.7085777,15.284428,,,,
3,20,2.547305916,18.38107185,2,2,2,7.536433613,7.536433613,7.536433613,,1,,1
4,2,9.452344423,4.642422177,5,6,5,31.84940867,25.84881202,31.84940867,,1,,
4,3,6.678801547,3.323508576,4,4,4,20.38676392,20.38676392,20.38676392,,1,,1
4,4,8.773232521,17.73904303,7,8,7,17.42352366,14.28579251,17.42352366,,1,,
4,5,4.972693802,18.61563104,6,5,6,9.406770598,9.577004102,9.406770598,,1,1,
4,6,1.639338974,1.01132359,0,0,2,10.50767486,10.50767486,4.641176464,1,,1,
4,7,9.184616166,5.161527121,6,5,5,24.26255099,30.10831082,30.10831082,,,,1
4,9,6.214605628,9.654075616,6,5,5,11.08881256,13.55822949,13.55822949,,,,1
4,10,5.056130763,19.44042653,8,9,5,13.19824509,16.40877887,9.768420836,1,,1,
4,11,3.073404769,13.01752297,3,4,4,7.504308843,7.45222068,7.45222068,1,,,1
4,13,8.393505123,14.36504808,11,11,14,13.96928361,13.96928361,22.95153318,,,,
4,14,8.866827095,5.743089475,7,6,6,17.84837885,22.43737048,22.43737048,,,,1
4,17,2.609558901,18.20557845,2,1,1,7.75416292,11.79504007,11.79504007,,,,1
4,19,9.98396244,7.715512356,8,7,7,18.99053696,23.55217874,23.55217874,,,,1
4,20,3.085836038,19.42532751,4,3,4,7.451408492,7.533826458,7.451408492,,1,1,
5,1,4.744811796,10.45097856,7,8,6,11.20724446,14.0189402,9.423208843,1,,1,
5,2,4.095473076,5.429904097,3,4,4,11.22865112,8.796521266,8.796521266,1,,,1
5,3,1.695538323,19.15686574,2,2,17,5.090742305,5.090742305,60.87934909,,,,
5,5,9.003979029,5.628512622,6,6,5,23.21692032,23.21692032,28.94697806,,,,
5,6,3.744881826,17.75905875,5,5,5,8.535110563,8.535110563,8.535110563,,1,,1
5,7,7.347077735,8.066788693,5,5,5,19.04481402,19.04481402,19.04481402,,1,,1
5,8,6.777280278,15.83529441,8,9,8,11.00660331,12.34062933,11.00660331,,1,1,
5,9,1.506368465,9.00004015,2,3,5,4.659742131,6.671594754,13.99733917,,,,
5,10,4.155497439,17.65848029,5,5,5,8.529252708,8.529252708,8.529252708,,1,,1
5,11,5.759974082,8.3407124,5,6,5,11.81144205,10.14625067,11.81144205,,1,,
5,12,3.766389903,13.21444223,5,6,5,8.524250234,10.55352597,8.524250234,,1,1,
5,13,4.31572052,16.2643832,4,4,3,9.368574534,9.368574534,12.24703383,,,,
5,14,8.375733268,3.494501768,3,2,3,37.76894876,44.65628786,37.76894876,,1,1,
5,15,2.883949959,4.399723448,2,3,3,9.039299327,7.006493525,7.006493525,1,,,1
5,16,5.16037819,5.011721337,5,6,5,10.01292319,9.47988951,10.01292319,,1,,
5,18,3.298847819,15.41847147,2,2,2,11.11561683,11.11561683,11.11561683,,1,,1
5,19,7.079937019,3.519305463,2,3,3,35.64286955,28.94981151,28.94981151,1,,,1
5,20,9.994009881,14.87908194,12,13,16,13.84404986,15.55741429,24.6228517,,,,
,,,,,,,,,,ChatGPT_beat_poisson,ChatGPT_eqaul_poisson,ChatGPT_beat_emprical,ChatGPT_eqaul_emprical
,,,,,,,,,,25,31,24,30
,,,,,,,,,rate,0.287356322,0.356321839,0.275862069,0.344827586
