day,idx,SampleData,DemandLambda,OrderLambda,poisson,empirical,chatGPT
3,7,"[(14, 11), (9, 6), (11, 2)]",5.797362479087844,13.336704286074768,7.0,6,10
3,8,"[(5, 4), (1, 1), (2, 2)]",6.123531501587367,2.3216750354010816,3.0,2,3
3,9,"[(9, 6), (16, 4), (11, 4)]",5.4924683540512085,11.28498069467031,5.0,4,10
3,10,"[(10, 3), (6, 6), (9, 8)]",3.5214360687507984,10.322931474581456,6.0,6,8
3,11,"[(5, 5), (6, 3), (9, 3)]",3.7343269787345035,8.169830679894462,6.0,3,6
3,12,"[(6, 5), (3, 3), (3, 3)]",7.4580987210392236,3.097387431411475,4.0,3,4
3,13,"[(18, 2), (19, 4), (22, 0)]",1.6183246061872836,19.845337544722597,2.0,2,19
3,14,"[(9, 2), (12, 5), (7, 4)]",5.965143837212291,12.50187046256292,4.0,4,8
3,15,"[(2, 2), (1, 1), (1, 1)]",9.989917375114466,2.014634926621129,3.0,1,3
3,16,"[(29, 8), (18, 11), (19, 10)]",6.771050624099017,17.199600503547668,11.0,10,18
3,17,"[(5, 3), (10, 0), (7, 3)]",2.163274426020377,10.290628480382225,2.0,3,6
3,18,"[(12, 1), (12, 6), (10, 2)]",4.991134868205856,11.655878495539975,3.0,2,10
3,19,"[(5, 3), (7, 0), (4, 2)]",2.559376482106227,6.476432560846682,2.0,2,4
3,20,"[(19, 6), (22, 10), (19, 9)]",8.32202934257966,16.770625882322832,9.0,9,20
4,1,"[(21, 6), (19, 8), (23, 3), (20, 6)]",6.4832953881400055,19.490435436758183,6.0,6,16
4,2,"[(10, 6), (5, 3), (8, 1), (14, 4)]",3.638741341620947,10.682228122603854,4.0,4,8
4,3,"[(9, 8), (7, 7), (5, 5), (10, 10)]",7.742878391984222,6.26842632418529,8.0,8,10
4,4,"[(9, 9), (16, 15), (7, 7), (15, 15)]",8.510315568357797,14.885433143289323,12.0,15,12
4,5,"[(18, 1), (19, 6), (16, 4), (21, 3)]",2.4117034377645417,15.951186028589582,4.0,4,20
4,6,"[(4, 0), (0, 0), (1, 1), (5, 3)]",2.5163094057008015,3.172585620562669,1.0,1,3
4,7,"[(16, 7), (20, 9), (14, 5), (21, 5)]",7.525048686830098,18.24411910601562,7.0,7,18
4,8,"[(13, 7), (12, 2), (22, 2), (16, 4)]",4.9532798779417195,13.842577766455614,4.0,4,15
4,9,"[(5, 2), (7, 4), (9, 3), (8, 3)]",2.381419410708883,6.33303598578582,3.0,3,7
4,10,"[(17, 3), (17, 4), (16, 5), (17, 6)]",5.884796541951934,17.206328302219134,5.0,5,16
4,11,"[(7, 7), (9, 9), (7, 6), (6, 6)]",5.441261582069263,9.301725470064799,9.0,7,7
4,12,"[(10, 5), (10, 2), (8, 3), (17, 2)]",3.662618871393337,12.519571009404142,3.0,3,8
4,13,"[(12, 2), (14, 6), (8, 4), (7, 3)]",4.484301495903597,11.086906126022923,4.0,4,10
4,14,"[(14, 4), (18, 6), (20, 6), (16, 2)]",5.599790589861707,15.947591029449546,5.0,6,16
4,15,"[(6, 6), (10, 9), (8, 6), (11, 9)]",7.284651477944841,12.563977576276654,10.0,9,9
4,16,"[(10, 1), (9, 1), (9, 1), (10, 2)]",1.8951886933492197,8.485549711930432,1.0,1,9
4,17,"[(14, 9), (25, 9), (18, 5), (24, 5)]",7.877933537610204,15.489125804505012,8.0,9,16
4,18,"[(7, 7), (13, 6), (9, 9), (8, 8)]",6.977642924757498,8.87909272407561,9.0,8,9
4,19,"[(4, 4), (5, 5), (6, 6), (5, 5)]",7.072923393693103,4.254504359811187,6.0,5,5
4,20,"[(11, 5), (6, 5), (8, 5), (5, 5)]",6.286742131852319,8.14672529405458,6.0,5,5
5,1,"[(11, 3), (10, 7), (6, 6), (12, 0), (8, 4)]",3.3217951636999934,10.969614772170157,5.0,6,8
5,2,"[(13, 4), (19, 0), (19, 1), (10, 5), (9, 2)]",2.5838125950634954,13.527194487568181,3.0,4,9
5,3,"[(1, 1), (1, 1), (4, 4), (0, 0), (2, 2)]",8.606395930755674,1.9027525136090075,3.0,2,3
5,4,"[(9, 6), (14, 7), (8, 8), (8, 8), (7, 4)]",6.584818776571656,11.032876507424541,7.0,8,10
5,5,"[(5, 5), (4, 4), (4, 4), (3, 3), (2, 2)]",6.563419660825292,3.6181448257719224,5.0,4,4
5,6,"[(14, 10), (13, 10), (10, 9), (5, 5), (11, 10)]",8.719900986420654,12.681589094980207,10.0,10,10
5,7,"[(17, 2), (12, 10), (16, 5), (13, 5), (11, 7)]",5.610484378528256,13.143779745931274,6.0,7,13
5,8,"[(11, 4), (4, 4), (5, 2), (9, 2), (7, 2)]",3.104950167413442,6.158731580684816,3.0,4,5
5,9,"[(10, 9), (12, 11), (10, 8), (8, 8), (6, 6)]",8.962793565147098,10.486635965256578,9.0,9,9
5,10,"[(21, 3), (24, 9), (24, 12), (24, 1), (20, 4)]",5.0394827564802265,19.103086814805415,6.0,9,22
5,11,"[(5, 5), (1, 1), (4, 4), (4, 4), (4, 4)]",8.299088800490944,2.3343038808998076,5.0,4,4
5,12,"[(18, 5), (23, 2), (10, 1), (22, 2), (18, 2)]",2.121371465161948,16.33158540840037,3.0,2,15
5,13,"[(14, 4), (14, 6), (13, 8), (21, 13), (11, 8)]",9.279627345853575,16.544019201938113,9.0,8,15
5,14,"[(9, 2), (10, 5), (7, 7), (5, 0), (8, 3)]",3.314933004109068,5.75241806938422,4.0,5,7
5,15,"[(8, 8), (12, 4), (10, 5), (7, 5), (8, 6)]",4.292115199644483,8.904229459103348,7.0,6,8
5,16,"[(3, 3), (2, 2), (2, 2), (2, 0), (3, 3)]",2.9270823953112,2.445873988060482,4.0,3,3
5,17,"[(9, 4), (9, 4), (11, 4), (6, 4), (9, 6)]",4.451519994599499,11.110087089477888,5.0,4,8
5,18,"[(19, 2), (12, 0), (26, 0), (16, 1), (13, 0)]",1.1820328953685264,16.30904753818175,1.0,1,13
5,19,"[(7, 7), (8, 7), (4, 4), (11, 8), (5, 5)]",8.171778704149673,5.869777941988768,8.0,7,8
5,20,"[(7, 7), (11, 11), (6, 6), (1, 1), (6, 6)]",9.879873856996078,5.777598537721589,8.0,7,7
