day,idx,DemandLambda,OrderLambda,poisson,emprical,chatGPT,poisson_cost,emprical_cost,ChatGPT_cost,ChatGPT_beat_poisson,ChatGPT_beat_emprical,ChatGPT_eqaul_poisson,ChatGPT_eqaul_emprical
2,19,6.48287925,2.403488081,18,3,3,46.06900012,25.00038683,25.00038683,1,,,1
2,20,4.839575751,15.22417349,7,11,14,11.04333287,24.70842141,36.64260115,,,,
3,1,3.698468552,5.874775273,6,4,7,10.69836938,7.995767606,13.80323128,,,,
3,2,1.378250157,13.04317759,2,2,10,4.705783443,4.705783443,34.23335106,,,,
3,3,9.065744287,14.07963827,14,10,14,20.71701654,12.54378966,20.71701654,,,1,
3,4,2.155696792,2.821751615,1,1,2,9.065984083,9.065984083,6.133512473,1,1,,
3,5,7.521160026,13.48942143,8,8,12,11.49632689,11.49632689,18.83911633,,,,
3,6,1.083908755,3.332924093,1,1,1,3.749176686,3.749176686,3.749176686,,,1,1
3,7,8.010432008,3.31903948,24,6,6,63.95827881,17.90489987,17.90489987,1,,,1
3,8,8.952715249,14.46003601,7,6,10,18.24632405,22.92397564,12.48134909,1,1,,
3,9,3.302427763,13.58044009,4,4,13,7.49046825,7.49046825,38.76729227,,,,
3,10,7.193737245,9.090959685,5,4,8,18.22357603,23.50708897,11.16935334,1,1,,
3,11,8.248734723,14.31434197,10,9,14,12.5073185,11.96875949,23.45935763,,,,
3,12,6.235451892,7.835692371,9,7,7,13.25783792,10.39469818,10.39469818,1,,,1
3,13,4.247290933,13.63978891,7,2,6,12.25932493,16.67583477,9.773949296,1,1,,
3,14,2.005333117,5.437081773,0,0,4,13.80211038,13.80211038,8.707159735,1,1,,
3,15,6.528779523,1.234319518,16,2,2,37.89193225,31.83629617,31.83629617,1,,,1
3,16,2.4062063,13.24871819,2,2,12,7.062831261,7.062831261,38.3254832,,,,
3,17,7.81093248,3.50385987,6,5,8,16.94629302,21.64534518,11.9295474,1,1,,
3,18,3.232120304,13.70633169,3,2,10,7.904520162,10.78562562,27.07441892,,,,
3,19,7.640860978,16.84698191,6,5,18,16.16270263,20.67237077,41.44288766,,,,
3,20,7.507093281,14.12403439,6,7,13,15.57003562,12.7191066,22.41084869,,,,
4,1,7.955415949,9.636212896,7,6,12,14.14356929,17.63619569,17.55201686,,1,,
4,2,5.843925439,2.531324621,19,3,3,52.62420323,20.91542574,20.91542574,1,,,1
4,3,3.020002178,11.5586947,3,3,7,7.381205809,7.381205809,16.08945414,,,,
4,4,4.82501115,10.39072798,5,5,8,9.292230112,9.292230112,13.79554077,,,,
4,5,4.125650841,5.273635496,6,3,3,9.93897967,11.36432767,11.36432767,,,,1
4,6,8.792420048,17.25300882,10,9,17,12.42465141,12.66255091,32.91209493,,,,
4,7,5.068230288,9.20964356,9,7,7,16.36988186,10.71432241,10.71432241,1,,,1
4,8,1.286184926,5.060395979,1,1,9,4.07703001,4.07703001,30.07181903,,,,
4,9,2.257556284,6.778907011,2,3,6,6.382613031,6.122794331,15.01596626,,,,
4,10,9.581059257,13.50510455,11,12,19,13.05035454,14.22653946,37.71730445,,,,
4,11,8.557452341,2.172818446,19,3,3,41.78053005,39.02184949,39.02184949,1,,,1
4,12,5.250179473,4.824751538,7,4,4,10.5072672,12.86350628,12.86350628,,,,1
4,13,1.494904785,2.249994194,1,1,1,5.379433395,5.379433395,5.379433395,,,1,1
4,14,5.35517571,4.800741848,7,5,6,10.41901734,10.53069242,9.62381623,1,1,,
4,15,5.527518226,17.77515674,7,7,19,10.30591682,10.30591682,53.88950249,,,,
4,16,4.79671732,10.8317808,7,6,13,11.11579764,9.410877626,32.81809218,,,,
4,17,3.978149557,9.627096511,5,5,12,8.466727994,8.466727994,32.08882885,,,,
4,18,3.765801132,4.279432435,10,6,6,24.95578698,10.55475202,10.55475202,1,,,1
4,19,2.04201242,18.39778841,2,2,20,5.8755462,5.8755462,71.57515597,,,,
4,20,6.005014976,9.114546425,5,4,10,12.71625486,16.58788656,16.83409097,,,,
5,1,8.138102219,8.587549617,21,4,4,51.44825484,29.55939192,29.55939192,1,,,1
5,2,8.4867351,16.62811271,10,8,10,12.41921036,13.44331582,12.41921036,,1,1,
5,3,7.558451047,2.782415325,17,2,2,37.78116938,38.96330707,38.96330707,,,,1
5,4,6.426635436,5.021414971,17,2,2,42.2952757,31.13464455,31.13464455,1,,,1
5,6,8.598611323,2.846980576,8,4,4,13.75863912,32.61531939,32.61531939,,,,1
5,7,6.010827728,7.107873947,8,5,5,11.44006692,12.73876175,12.73876175,,,,1
5,8,6.994846843,10.35186378,9,8,8,12.08309634,11.05560431,11.05560431,1,,,1
5,9,8.411459306,15.34311579,6,7,20,19.94946226,15.87258067,46.35730227,,,,
5,10,8.630770219,8.562230789,21,4,4,49.47855279,32.83058049,32.83058049,1,,,1
5,11,9.33515634,8.363767167,28,8,8,74.65937576,16.25411483,16.25411483,1,,,1
5,13,3.504875563,9.903221437,4,3,10,7.711338154,8.812733138,25.98619615,,,,
5,14,7.026328913,12.69530465,7,8,13,11.52732173,11.07005431,24.14924223,,,,
5,15,9.357857823,15.70955621,10,10,9,12.79067372,12.79067372,13.84662566,,,,
5,16,5.571650733,8.628404656,9,5,5,14.86218796,11.17842297,11.17842297,1,,,1
5,17,9.013318569,8.267959409,10,10,11,12.51255923,12.51255923,13.26104767,,,,
5,18,9.679106071,19.82473022,11,9,19,13.05809399,14.71850923,37.33044431,,,,
5,19,9.486897412,12.66964413,14,9,9,19.44378678,14.18005473,14.18005473,1,,,1
5,20,7.410718888,17.70508252,7,8,15,12.45145619,11.36676946,30.43344257,,,,
,,,,,,,1866.436721,1561.512891,2287.578191,ChatGPT_beat_poisson,ChatGPT_beat_emprical,ChatGPT_eqaul_poisson,ChatGPT_eqaul_emprical
,,,,,,,,,,33,19,7,28
,,,,,,,,,rate,0.340206186,0.195876289,0.072164948,0.288659794
,,,,,,,,,,,,,
,,,,,,,,,,GPT>=poisson,GPT>=empirical,,
,,,,,,,,,,0.412371134,0.484536082,,
